"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
2.4,90,-15,1.78263934679841
2.4,90,-12,1.78703280934966
2.4,90,-9,1.77740267702143
2.4,90,-6,1.75533109060097
2.4,90,-3,1.72247036443906
2.4,90,0,1.68043107639592
2.4,90,3,1.63069476074776
2.4,90,6,1.57454412217975
2.4,90,9,1.51300953540179
2.4,90,12,1.44683844408599
2.4,90,15,1.37649951582236
2.4,90,18,1.30223251843451
2.4,90,21,1.22414676210362
2.4,90,24,1.14235750058528
2.4,90,27,1.0571353682398
2.4,90,30,0.969034388501589
2.4,90,33,0.878964076528756
2.4,90,36,0.7881824165363
2.4,90,39,0.698206490023563
2.4,90,42,0.61065991541775
2.4,90,45,0.527093240977114
2.4,90,48,0.448819143418309
2.4,90,51,0.376797390224074
2.4,90,54,0.31158856894023
2.4,90,57,0.253376918269315
2.4,90,60,0.202047222600665
2.4,90,63,0.157292022187336
2.4,90,66,0.118723665277946
2.4,90,69,0.0859693791126911
2.4,90,72,0.0587344690831383
2.4,90,75,0.0368271811736625
2.4,90,78,0.0201472477006304
2.4,90,81,0.00864740527970229
2.4,90,84,0.00228211829690232
2.4,90,87,0.000959635843653575
2.4,90,90,0.00451217220845755
2.4,90,93,0.0126947326111148
2.4,90,96,0.0252165423967849
2.4,90,99,0.0418011219459257
2.4,90,102,0.0622631488612125
2.4,90,105,0.0865841580510197
2.4,90,108,0.114966664237478
2.4,90,111,0.147848521355016
2.4,90,114,0.185865963635322
2.4,90,117,0.229763244968798
2.4,90,120,0.28025717068599
2.4,90,123,0.337874727839799
2.4,90,126,0.402790685860549
2.4,90,129,0.474698205886807
2.4,90,132,0.552746409967238
2.4,90,135,0.635570884510835
2.4,90,138,0.72142439449546
2.4,90,141,0.808388681251882
2.4,90,144,0.89462256689871
2.4,90,147,0.97858731277849
2.4,90,150,1.0591944565233
2.4,90,153,1.13584366944063
2.4,90,156,1.20835034154115
2.4,90,159,1.27679290167085
2.4,90,162,1.34132850339763
2.4,90,165,1.40202825650096
2.4,90,168,1.45877103287142
2.4,90,171,1.51121333052418
2.4,90,174,1.55882865463231
2.4,90,177,1.60099006786993
2.4,90,180,1.63705913450914
3,90,-180,2.6252420274159
3,90,-177,2.69241228553903
3,90,-174,2.71360268038683
3,90,-171,2.68942326364298
3,90,-168,2.62334616183802
3,90,-165,2.52144683884491
3,90,-162,2.3918348949941
3,90,-159,2.24378367149398
3,90,-156,2.08665688145603
3,90,-153,1.92881322531864
3,90,-150,1.77670546534208
3,90,-147,1.63435434151179
3,90,-144,1.5032782023233
3,90,-141,1.38283609760328
3,90,-138,1.27084696058215
3,90,-135,1.1643157778267
3,90,-132,1.06012927935689
3,90,-129,0.955645615518829
3,90,-126,0.849151650734036
3,90,-123,0.740173492553327
3,90,-120,0.629609648963858
3,90,-117,0.519644479053381
3,90,-114,0.413422194554647
3,90,-111,0.314521819420794
3,90,-108,0.226344288207991
3,90,-105,0.15156501215761
3,90,-102,0.091792476782722
3,90,-99,0.0475079607242049
3,90,-96,0.0182714924549207
3,90,-93,0.00310225032768195
3,90,-90,0.000905035564576749
3,90,-87,0.0108237534126553
3,90,-84,0.0324438096930366
3,90,-81,0.0658160663168135
3,90,-78,0.111318869353743
3,90,-75,0.169405722414171
3,90,-72,0.240305478025346
3,90,-69,0.323750322472902
3,90,-66,0.418801566786548
3,90,-63,0.523820940041592
3,90,-60,0.636597795124389
3,90,-57,0.754601145494237
3,90,-54,0.875295722669429
3,90,-51,0.996455294136949
3,90,-48,1.11642321616831
3,90,-45,1.23429398052114
3,90,-42,1.35000066196593
3,90,-39,1.46428481911599
3,90,-36,1.57851221273955
3,90,-33,1.69430532696126
3,90,-30,1.81300541556639
3,90,-27,1.9350391354581
3,90,-24,2.05931666693847
3,90,-21,2.18280468541645
